"name2","address2","city2","zip2"
"CARIBE TELENO RESTAURANT","320 WATERS AVE","TAMPA","33604"
"LATIN MIX RESTAURANT & CAFETERIA","11368 SW 184 ST","MIAMI","33157"
"FRIENDLY & AMIGO RESTAURANT","12275 COLLIER BLVD 3","NAPLES","34116"
"MARKER 85 LLC","127 BAYSHORE WAY","GOODLAND","34140"
"T MAX GROUP","3743 PAULA AVE","KEY WEST","33040"
"PEI WEI FRESH KITCHEN 0256","9982 GLADES RD STE G5","BOCA RATON","33434"
"JULIAS PIZZA RESTAURANT","5075 EDGEWATER DR","ORLANDO","32810"
"PITAS REPUBLIC","10454 ROOSEVELT BLVD N","ST. PETERSBURG","33716"
"THE HABIT BURGER GRILL","1801 S FEDERAL HWY STE 302","DELRAY BEACH","33483"
"CRYSTAL BUFFET","3160 W NEW HAVEN AVE","W MELBOURNE","32904"
"MARITZA TRETO PEREZ","368 W 14 ST","HIALEAH","33010"
"SOUP TO NUTS","1323 S MAIN ST","GAINESVILLE","32608"
"SHRIMP BASKET","12390 FRONT BEACH RD","PANAMA CITY BEACH","32407"
"CUBAN COFFEE QUEEN DOWNTOWN","5 KEY LIME SQUARE","KEY WEST","33040"
"YOGEN FRUZ","5250 INTERNATIONAL DR","ORLANDO","32819"
"SUBWAY 1960","8000 W BROWARD BLVD 5002","PLANTATION","33388"
"WYNNS HEALTHY OASIS","5450 YMCA RD","NAPLES","34109"
"PAPA MURPHYS TAKE N BAKE","2200 WINTER SPRINGS BLVD UNIT 111","OVIEDO","32765"
"LAS PIEDRAS CAFE","330 E 9 ST 106","HIALEAH","33010"
"A TASTE OF LOVE CAFE","2957 EDISON AVE","JACKSONVILLE","32254"
"TACO ROCK","5454 PENSACOLA BLVD","PENSACOLA","32505"
"SIRIANNOS SOUP AND SANDWICH SHOP","115 W CENTER AVE","SEBRING","33875"
"THE CRAB STOP & SEAFOOD MARKET OF VERO BEACH","2263 14 AVE","VERO BEACH","32960"
"JASONS DELI","301 E ALTAMONTE DR STE 1000","ALTAMONTE SPRINGS","32701"
"HOLIDAY INN EXPRESS & SUITES","1251 HYPOLUXO RD","LANTANA","33462"
"AREPAS EL CACAO","5389 S KIRKMAN RD 102","ORLANDO","32819"
"THE BRISKET BROTHERS BBQ SMOKEHOUSE","8595 COLLEGE PKWY 130","FORT MYERS","33919"
"SUBWAY","6126 US HWY 98","SEBRING","33875"
"TERRA GAUCHA BRAZILIAN STEAKHOUSE","4483 SOUTHSIDE BLVD","JACKSONVILLE","32216"
"TEQ A BITE","1206 E VINE ST","KISSIMMEE","34744"
"FUJIYA JAPANESE RESTAURANT","13750 SW 88 ST","MIAMI","33186"
"DREAM VENTURES","5880 OKEECHOBEE RD","FORT PIERCE","34947"
"EXPRESSO","1900 S ANDREWS AVE","FORT LAUDERDALE","33316"
"AREPAS EL CACAO","5389 S KIRKMAN RD UNIT 102","ORLANDO","32819"
"SAPORE DI MARE ITALIAN SEAFOOD","3111 GRAND AVE","MIAMI","33133"
"NORTH END PIZZA","3635 ALOMA AVE 1009","OVIEDO","32765"
"DOGGZ & HOGGZ","6101 ANNO AVENUE","ORLANDO","32809"
"THE BARN AT WICKED WHEEL","10029 HUTCHINSON BLVD","PANAMA CITY BEACH","32408"
"LE VINOIS BAKERY","6322 NW 9 AVE","FORT LAUDERDALE","33309"
